124_11	591711	591824
139_3	612439	612570
129_0	592906	592992
149_6	629917	630173
124_12	591824	592107
139_4	612570	612705
149_7	630173	630326
124_13	592107	592410
149_8	630326	630439
124_14	592410	592426
119_0	583177	583490
149_9	630439	631013
124_15	592426	592498
119_1	583490	583561
109_0	535236	535489
109_1	535489	535838
121_10	587192	587531
109_2	535838	536365
109_3	536365	536932
109_4	536932	537403
109_5	537403	537610
109_6	537610	537886
109_7	537886	538192
109_8	538192	538451
109_9	538451	538643
90_0	396916	397431
90_1	397431	397769
90_2	397769	398247
80_0	370608	371043
80_1	371043	371366
80_2	371366	371623
80_3	371623	371808
70_0	290999	291617
80_4	371808	372073
70_1	291617	291908
118_10	567425	567541
80_5	372073	372087
70_2	291908	292280
118_11	567541	567557
80_6	372087	372610
60_0	245859	246073
118_12	567557	567637
80_7	372610	372725
60_1	246073	246437
118_13	567637	567711
117_10	559910	560031
80_8	372725	372874
60_2	246437	246720
118_14	567711	567727
117_11	560031	560103
80_9	372874	373262
60_3	246720	246959
50_0	195947	196209
118_15	567727	567829
117_12	560103	560269
60_4	246959	247132
50_1	196209	196588
118_16	567829	568082
117_13	560269	560558
60_5	247132	247368
50_2	196588	196807
118_17	568082	568323
117_14	560558	560798
60_6	247368	247635
50_3	196807	196996
40_0	132510	132929
118_18	568323	568479
117_15	560798	561104
60_7	247635	247814
50_4	196996	197168
118_19	568479	569203
117_16	561104	561242
115_10	554314	554595
60_8	247814	248114
50_5	197168	197512
117_17	561242	561628
115_11	554595	555081
60_9	248114	248590
50_6	197512	197600
30_0	91162	91731
117_18	561628	561644
115_12	555081	555542
50_7	197600	197696
30_1	91731	91967
115_13	555542	555712
114_10	550362	551119
50_8	197696	197710
115_14	555712	555968
20_0	51530	51605
115_15	555968	556484
20_1	51605	51619
118_20	569203	569422
10_0	15614	15710
118_21	569422	569671
10_1	15710	15812
118_22	569671	570124
10_2	15812	15913
118_23	570124	570200
10_3	15913	16114
118_24	570200	570468
10_4	16114	16263
118_25	570468	570810
10_5	16263	16379
118_26	570810	571169
10_6	16379	16469
118_27	571169	571453
118_28	571453	571672
118_29	571672	571909
118_30	571909	572179
118_31	572179	572783
118_32	572783	574001
118_33	574001	575084
118_34	575084	575187
118_35	575187	575271
118_36	575271	575671
118_37	575671	576101
118_38	576101	576205
118_39	576205	576844
109_10	538643	539130
109_11	539130	539499
109_12	539499	539784
118_40	576844	577262
109_13	539784	540061
118_41	577262	577430
109_14	540061	540393
118_42	577430	577646
109_15	540393	540858
118_43	577646	577932
109_16	540858	540965
118_44	577932	578193
109_17	540965	541067
118_45	578193	578209
109_18	541067	541145
118_46	578209	578296
109_19	541145	541395
106_10	531435	531546
118_47	578296	578642
106_11	531546	532029
118_48	578642	578807
106_12	532029	532445
118_49	578807	579176
106_13	532445	532782
106_14	532782	532927
106_15	532927	533742
106_16	533742	533855
104_10	515311	515756
109_20	541395	541989
